customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered
7,male,36-45,south,travel,online,amazon,4,great value for money.,positive,38,yes,no
28,other,46-60,north,groceries,online,amazon,1,product stopped working after few days.,negative,32,yes,yes
97,male,36-45,north,books,online,amazon,5,fast delivery and great packaging.,positive,43,yes,no
116,female,26-35,central,groceries,online,amazon,2,not worth the price.,negative,43,yes,yes
120,male,26-35,north,automobile,online,amazon,2,late delivery and poor packaging.,negative,24,yes,yes
146,other,46-60,north,sports,online,amazon,2,late delivery and poor packaging.,negative,71,no,yes
153,other,46-60,north,fashion,online,amazon,5,fast delivery and great packaging.,positive,52,no,no
168,male,46-60,west,home & kitchen,online,amazon,2,very disappointed with the quality.,negative,60,no,yes
210,other,26-35,south,electronics,online,amazon,4,"amazing experience, highly recommend!",positive,44,yes,no
222,female,46-60,west,home & kitchen,online,amazon,2,not worth the price.,negative,34,yes,yes
232,other,46-60,south,travel,online,amazon,2,late delivery and poor packaging.,negative,52,no,yes
245,female,36-45,central,home & kitchen,online,amazon,1,not worth the price.,negative,34,yes,yes
253,male,36-45,north,electronics,online,amazon,1,not worth the price.,negative,38,yes,yes
262,male,26-35,south,fashion,online,amazon,5,very satisfied with the quality.,positive,10,yes,no
287,male,46-60,south,travel,online,amazon,3,works fine but could be better.,neutral,57,no,no
312,other,36-45,north,automobile,online,amazon,3,works fine but could be better.,neutral,44,yes,no
325,other,46-60,south,home & kitchen,online,amazon,1,product stopped working after few days.,negative,14,yes,yes
328,male,46-60,north,beauty,online,amazon,2,product stopped working after few days.,negative,9,yes,yes
373,female,46-60,south,electronics,online,amazon,2,very disappointed with the quality.,negative,34,yes,yes
380,male,46-60,north,groceries,online,amazon,2,not worth the price.,negative,20,yes,yes
404,other,46-60,central,books,online,amazon,4,great value for money.,positive,37,yes,no
413,male,18-25,west,automobile,online,amazon,5,"amazing experience, highly recommend!",positive,33,yes,no
434,male,36-45,west,books,online,amazon,1,not worth the price.,negative,34,yes,yes
493,other,46-60,west,automobile,online,amazon,5,very satisfied with the quality.,positive,38,yes,no
498,female,36-45,north,groceries,online,amazon,3,neutral about the quality.,neutral,12,yes,no
510,male,60+,south,sports,online,amazon,4,very satisfied with the quality.,positive,7,yes,no
575,male,60+,north,beauty,online,amazon,1,late delivery and poor packaging.,negative,47,yes,yes
590,other,18-25,west,fashion,online,amazon,4,very satisfied with the quality.,positive,36,yes,no
708,female,26-35,south,electronics,online,amazon,5,"amazing experience, highly recommend!",positive,68,no,no
724,male,60+,east,beauty,online,amazon,5,"amazing experience, highly recommend!",positive,20,yes,no
729,female,18-25,west,groceries,online,amazon,1,late delivery and poor packaging.,negative,38,yes,yes
771,female,18-25,east,automobile,online,amazon,2,customer service was unhelpful.,negative,6,yes,yes
795,female,18-25,east,electronics,online,amazon,4,fast delivery and great packaging.,positive,29,yes,no
797,other,18-25,central,beauty,online,amazon,2,very disappointed with the quality.,negative,31,yes,yes
829,other,46-60,south,travel,online,amazon,5,"amazing experience, highly recommend!",positive,5,yes,no
852,other,18-25,south,beauty,online,amazon,2,not worth the price.,negative,56,no,yes
856,other,18-25,south,beauty,online,amazon,2,not worth the price.,negative,23,yes,yes
859,other,46-60,central,home & kitchen,online,amazon,1,very disappointed with the quality.,negative,5,yes,yes
897,female,26-35,south,fashion,online,amazon,3,neutral about the quality.,neutral,58,no,no
915,female,26-35,central,books,online,amazon,2,not worth the price.,negative,39,yes,yes
924,male,46-60,west,home & kitchen,online,amazon,4,"amazing experience, highly recommend!",positive,63,no,no
940,female,26-35,west,electronics,online,amazon,5,excellent product! exceeded expectations.,positive,56,no,no
949,other,60+,north,home & kitchen,online,amazon,5,"amazing experience, highly recommend!",positive,6,yes,no
986,female,26-35,central,automobile,online,amazon,2,customer service was unhelpful.,negative,63,no,yes
988,male,18-25,south,fashion,online,amazon,4,"amazing experience, highly recommend!",positive,19,yes,no
1042,other,60+,north,books,online,amazon,5,excellent product! exceeded expectations.,positive,32,yes,no
1046,male,46-60,east,home & kitchen,online,amazon,4,"amazing experience, highly recommend!",positive,30,yes,no
1098,other,60+,north,beauty,online,amazon,3,works fine but could be better.,neutral,66,no,no
1204,other,18-25,north,electronics,online,amazon,3,average experience overall.,neutral,65,no,no
1239,male,60+,west,electronics,online,amazon,4,fast delivery and great packaging.,positive,71,no,no
1260,other,18-25,west,fashion,online,amazon,4,great value for money.,positive,71,no,no
1288,male,46-60,east,travel,online,amazon,5,"amazing experience, highly recommend!",positive,14,yes,no
1305,female,36-45,north,automobile,online,amazon,4,"amazing experience, highly recommend!",positive,50,no,no
